checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<20000,9,no credits taken/all paid back duly,furniture/equipment,1501,<100,>=7,2.0,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,,,bad
no checking account,6,no credits taken/all paid back duly,television,1382,<100,1<=X<4,1.0,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,951,<100,<1,4.0,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,,,bad
0<=X<20000,24,existing paid,car,2760,no known savings account,>=7,4.0,male single,none,4,no known property,36,bank,free,1,skilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,4297,<100,>=7,4.0,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,9,no credits taken/all paid back duly,furniture/equipment,936,100<=X<1000,>=7,4.0,male single,none,2,car,52,none,own,2,skilled,1,,,good
<0,12,existing paid,car,1168,<100,1<=X<4,4.0,male mar/wid,none,3,real estate,27,none,own,1,unskilled,1,,,good
no checking account,27,no credits taken/all paid back duly,furniture/equipment,5117,<100,4<=X<7,3.0,male single,none,4,car,26,none,own,2,skilled,1,,,good
<0,12,existing paid,furniture/equipment,902,<100,4<=X<7,4.0,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,car,1495,<100,>=7,4.0,male single,none,1,real estate,38,none,own,2,unskilled,2,,,good
<0,30,no credits taken/all paid back duly,car,10623,<100,>=7,3.0,male single,none,4,no known property,38,none,free,3,high qualif/self emp/mgmt,2,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,1935,<100,>=7,4.0,male single,none,4,real estate,43,none,own,3,skilled,1,,,good
0<=X<20000,12,no credits taken/all paid back duly,furniture/equipment,1424,<100,4<=X<7,4.0,male single,none,3,life insurance,26,none,own,1,skilled,1,,,good
<0,24,existing paid,furniture/equipment,6568,<100,1<=X<4,2.0,male mar/wid,none,2,car,21,stores,own,1,unskilled,1,,,good
no checking account,12,existing paid,car,1413,>=10000,4<=X<7,3.0,male single,none,2,life insurance,55,none,own,1,skilled,1,,,good
no checking account,9,no credits taken/all paid back duly,television,3074,no known savings account,1<=X<4,1.0,male single,none,2,real estate,33,none,own,2,skilled,2,,,good
no checking account,36,existing paid,television,3835,no known savings account,>=7,2.0,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled,1,,,good
<0,27,no credits taken/all paid back duly,furniture/equipment,5293,<100,unemployed,2.0,male single,none,4,life insurance,50,stores,own,2,skilled,1,,,bad
>=20000,30,no credits taken/all paid back duly,furniture/equipment,1908,<100,>=7,4.0,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,36,no credits taken/all paid back duly,television,3342,no known savings account,>=7,4.0,male single,none,2,car,51,none,own,1,skilled,1,,,good
0<=X<20000,6,no credits taken/all paid back duly,furniture/equipment,932,no known savings account,4<=X<7,1.0,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled,1,,,good
<0,18,no credits taken/all paid back duly,furniture/equipment,3104,<100,4<=X<7,3.0,male single,none,1,life insurance,31,bank,own,1,skilled,1,,,good
>=20000,36,existing paid,television,3913,<100,1<=X<4,2.0,male single,none,2,real estate,23,none,own,1,skilled,1,,,good
<0,24,existing paid,furniture/equipment,3021,<100,1<=X<4,2.0,male div/sep,none,2,real estate,24,none,rent,1,unskilled,1,,,good
no checking account,10,existing paid,car,1364,<100,1<=X<4,2.0,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,television,625,<100,<1,4.0,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled,1,,,good
<0,12,existing paid,furniture/equipment,1200,no known savings account,1<=X<4,4.0,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,,,good
no checking account,12,existing paid,television,707,<100,1<=X<4,4.0,male single,none,2,real estate,30,bank,own,2,skilled,1,,,good
no checking account,24,no credits taken/all paid back duly,furniture/equipment,2978,no known savings account,1<=X<4,4.0,male single,none,4,real estate,32,none,own,2,skilled,2,,,good
no checking account,15,existing paid,car,4657,<100,1<=X<4,3.0,male single,none,2,car,30,none,own,1,skilled,1,,,good
no checking account,36,no credits taken/all paid back duly,furniture/equipment,2613,<100,1<=X<4,4.0,male single,none,2,car,27,none,own,2,skilled,1,,,good
0<=X<20000,48,existing paid,television,10961,>=10000,4<=X<7,1.0,male single,co-applicant,2,no known property,27,bank,own,2,skilled,1,,,bad
<0,12,existing paid,furniture/equipment,7865,<100,>=7,4.0,male single,none,4,no known property,53,none,free,1,high qualif/self emp/mgmt,1,,,bad
no checking account,9,existing paid,television,1478,<100,4<=X<7,4.0,male single,none,2,car,22,none,own,1,skilled,1,,,bad
<0,24,existing paid,furniture/equipment,3149,<100,<1,4.0,male single,none,1,no known property,22,bank,free,1,skilled,1,,,good
>=20000,36,existing paid,television,4210,<100,1<=X<4,4.0,male single,none,2,car,26,none,own,1,skilled,1,,,bad
no checking account,9,existing paid,car,2507,100<=X<1000,>=7,2.0,male single,none,4,no known property,51,none,free,1,unskilled,1,,,good
no checking account,12,existing paid,television,2141,<100,4<=X<7,3.0,male single,none,1,no known property,35,none,own,1,skilled,1,,,good
0<=X<20000,18,existing paid,television,866,<100,1<=X<4,4.0,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled,1,,,good
no checking account,4,no credits taken/all paid back duly,television,1544,<100,4<=X<7,2.0,male single,none,1,real estate,42,none,own,3,unskilled,2,,,good
<0,24,existing paid,television,1823,<100,unemployed,4.0,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,,,bad
0<=X<20000,6,existing paid,car,14555,no known savings account,unemployed,1.0,male single,none,2,life insurance,23,none,own,1,unskilled,1,,,bad
0<=X<20000,21,existing paid,furniture/equipment,2767,<100,>=7,4.0,male div/sep,none,2,car,61,bank,rent,2,unskilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,television,1291,<100,1<=X<4,4.0,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,,,good
<0,30,existing paid,television,2522,<100,>=7,1.0,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,,,good
<0,24,existing paid,car,915,no known savings account,>=7,4.0,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,,,bad
no checking account,6,existing paid,television,1595,<100,4<=X<7,3.0,male single,none,2,life insurance,51,none,own,1,skilled,2,,,good
<0,48,no credits taken/all paid back duly,car,4605,<100,>=7,3.0,male single,none,4,no known property,24,none,free,2,skilled,2,,,bad
no checking account,12,no credits taken/all paid back duly,furniture/equipment,1185,<100,1<=X<4,3.0,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,3447,100<=X<1000,1<=X<4,4.0,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled,2,,,good
no checking account,24,existing paid,furniture/equipment,1258,<100,4<=X<7,4.0,male single,none,1,real estate,25,none,own,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,television,717,<100,>=7,4.0,male single,none,4,real estate,52,none,own,3,skilled,1,,,good
no checking account,6,no credits taken/all paid back duly,car,1204,<100,1<=X<4,4.0,male single,none,1,no known property,35,bank,rent,1,skilled,1,,,good
>=20000,24,existing paid,furniture/equipment,1925,<100,1<=X<4,2.0,male single,none,2,real estate,26,none,own,1,skilled,1,,,good
no checking account,18,existing paid,television,433,<100,unemployed,3.0,female div/dep/mar,co-applicant,4,real estate,22,none,rent,1,skilled,1,,,bad
<0,6,no credits taken/all paid back duly,car,666,>=10000,4<=X<7,3.0,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled,1,,,good
>=20000,12,existing paid,furniture/equipment,2251,<100,1<=X<4,1.0,female div/dep/mar,none,2,car,46,none,own,1,unskilled,1,,,good
0<=X<20000,30,existing paid,car,2150,<100,1<=X<4,4.0,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,furniture/equipment,4151,<100,1<=X<4,2.0,male single,none,3,life insurance,35,none,own,2,skilled,1,,,good
0<=X<20000,9,existing paid,furniture/equipment,2030,no known savings account,4<=X<7,2.0,male single,none,1,car,24,none,own,1,skilled,1,,,good
0<=X<20000,60,no credits taken/all paid back duly,television,7418,no known savings account,1<=X<4,1.0,male single,none,1,real estate,27,none,own,1,unskilled,1,,,good
no checking account,24,no credits taken/all paid back duly,television,2684,<100,1<=X<4,4.0,male single,none,2,real estate,35,none,own,2,unskilled,1,,,good
<0,12,no credits taken/all paid back duly,television,2149,<100,1<=X<4,4.0,male div/sep,none,1,no known property,29,none,free,1,skilled,1,,,bad
no checking account,15,existing paid,car,3812,<100,<1,1.0,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,,,good
no checking account,11,no credits taken/all paid back duly,television,1154,<100,unemployed,4.0,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled,1,,,good
<0,12,existing paid,furniture/equipment,1657,<100,1<=X<4,2.0,male single,none,2,real estate,27,none,own,1,skilled,1,,,good
<0,24,existing paid,television,1603,<100,>=7,4.0,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,,,good
<0,18,no credits taken/all paid back duly,car,5302,<100,>=7,2.0,male single,none,4,no known property,36,none,free,3,high qualif/self emp/mgmt,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,2748,<100,>=7,2.0,female div/dep/mar,none,4,no known property,57,bank,free,3,unskilled,1,,,good
no checking account,10,no credits taken/all paid back duly,car,1231,<100,>=7,3.0,male single,none,4,real estate,32,none,own,2,unskilled,2,,,good
0<=X<20000,15,existing paid,television,802,<100,>=7,4.0,male single,none,3,car,37,none,own,1,skilled,2,,,bad
no checking account,36,no credits taken/all paid back duly,furniture/equipment,6304,no known savings account,>=7,4.0,male single,none,4,real estate,36,none,own,2,skilled,1,,,good
no checking account,24,existing paid,television,1533,<100,<1,4.0,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,,,good
<0,14,existing paid,car,8978,<100,>=7,1.0,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,24,existing paid,television,999,no known savings account,>=7,4.0,male single,none,2,car,25,none,own,2,skilled,1,,,good
no checking account,18,existing paid,car,2662,no known savings account,4<=X<7,4.0,male single,none,3,life insurance,32,none,own,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,1402,100<=X<1000,4<=X<7,3.0,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,,,good
0<=X<20000,48,no credits taken/all paid back duly,car,12169,no known savings account,unemployed,4.0,male single,co-applicant,4,no known property,36,none,free,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,48,existing paid,television,3060,<100,4<=X<7,4.0,male single,none,4,real estate,28,none,own,2,skilled,1,,,bad
<0,30,existing paid,furniture/equipment,11998,<100,<1,1.0,male div/sep,none,1,no known property,34,none,own,1,unskilled,1,,,bad
no checking account,9,existing paid,television,2697,<100,1<=X<4,1.0,male single,none,2,real estate,32,none,own,1,skilled,2,,,good
no checking account,18,no credits taken/all paid back duly,television,2404,<100,1<=X<4,2.0,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,,,good
<0,12,existing paid,furniture/equipment,1262,no known savings account,>=7,2.0,male div/sep,none,4,life insurance,49,none,own,1,unskilled,1,,,good
no checking account,6,existing paid,furniture/equipment,4611,<100,<1,1.0,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,,,bad
no checking account,24,existing paid,television,1901,<100,1<=X<4,4.0,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,,,good
no checking account,15,no credits taken/all paid back duly,car,3368,>=10000,>=7,3.0,male single,none,4,no known property,23,none,rent,2,skilled,1,,,good
no checking account,12,existing paid,furniture/equipment,1574,<100,1<=X<4,4.0,male single,none,2,real estate,50,none,own,1,skilled,1,,,good
>=20000,18,no credits taken/all paid back duly,television,1445,no known savings account,4<=X<7,4.0,male single,none,4,car,49,bank,own,1,unskilled,1,,,good
no checking account,15,no credits taken/all paid back duly,furniture/equipment,1520,no known savings account,>=7,4.0,male single,none,4,life insurance,63,none,own,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,car,3878,<100,<1,4.0,male div/sep,none,2,car,37,none,own,1,skilled,1,,,good
<0,47,existing paid,car,10722,<100,<1,1.0,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled,1,,,good
<0,48,existing paid,car,4788,<100,4<=X<7,4.0,male single,none,3,life insurance,26,none,own,1,skilled,2,,,good
0<=X<20000,48,no credits taken/all paid back duly,furniture/equipment,7582,<100,unemployed,2.0,male single,none,4,no known property,31,none,free,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,television,1092,<100,1<=X<4,4.0,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,,,good
<0,24,no credits taken/all paid back duly,television,1024,<100,<1,4.0,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,,,bad
no checking account,12,existing paid,furniture/equipment,1076,<100,1<=X<4,2.0,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,,,good
0<=X<20000,36,existing paid,car,9398,<100,<1,1.0,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,,,bad
<0,24,no credits taken/all paid back duly,car,6419,<100,>=7,2.0,female div/dep/mar,none,4,no known property,44,none,free,2,high qualif/self emp/mgmt,2,,,good
>=20000,42,no credits taken/all paid back duly,car,4796,<100,>=7,4.0,male single,none,4,no known property,56,none,free,1,skilled,1,,,good
no checking account,48,no credits taken/all paid back duly,furniture/equipment,7629,no known savings account,>=7,4.0,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,,,good
0<=X<20000,48,existing paid,furniture/equipment,9960,<100,<1,1.0,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,,,bad
no checking account,12,existing paid,car,4675,no known savings account,<1,1.0,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,,,good
no checking account,10,existing paid,car,1287,no known savings account,>=7,4.0,male single,co-applicant,2,life insurance,45,none,own,1,unskilled,1,,,good
no checking account,18,existing paid,furniture/equipment,2515,<100,1<=X<4,3.0,male single,none,4,real estate,43,none,own,1,skilled,1,,,good
0<=X<20000,21,no credits taken/all paid back duly,furniture/equipment,2745,>=10000,4<=X<7,3.0,male single,none,2,car,32,none,own,2,skilled,1,,,good
no checking account,6,existing paid,car,672,<100,unemployed,1.0,female div/dep/mar,none,4,real estate,54,none,own,1,unskilled,1,,,good
0<=X<20000,36,no credits taken/all paid back duly,television,3804,<100,1<=X<4,4.0,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,,,bad
>=20000,24,no credits taken/all paid back duly,car,1344,no known savings account,4<=X<7,4.0,male single,none,2,real estate,37,bank,own,2,unskilled,2,,,bad
<0,10,no credits taken/all paid back duly,car,1038,<100,4<=X<7,4.0,male single,co-applicant,3,life insurance,49,none,own,2,skilled,1,,,good
no checking account,48,no credits taken/all paid back duly,car,10127,100<=X<1000,1<=X<4,2.0,male single,none,2,no known property,44,bank,free,1,skilled,1,,,bad
no checking account,6,existing paid,furniture/equipment,1543,>=10000,1<=X<4,4.0,male div/sep,none,2,real estate,33,none,own,1,skilled,1,,,good
no checking account,30,existing paid,car,4811,no known savings account,4<=X<7,2.0,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled,1,,,good
<0,12,existing paid,television,727,<100,<1,4.0,male mar/wid,none,3,no known property,33,none,own,1,unskilled,1,,,bad
0<=X<20000,8,existing paid,furniture/equipment,1237,<100,1<=X<4,3.0,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,,,bad
0<=X<20000,9,existing paid,car,276,<100,1<=X<4,4.0,male mar/wid,none,4,real estate,22,none,rent,1,unskilled,1,,,good
0<=X<20000,48,existing paid,furniture/equipment,5381,no known savings account,unemployed,3.0,male single,none,4,no known property,40,bank,free,1,unskilled,1,,,good
no checking account,24,existing paid,furniture/equipment,5511,<100,1<=X<4,4.0,male single,none,1,car,25,stores,own,1,skilled,1,,,good
>=20000,24,existing paid,furniture/equipment,3749,<100,<1,2.0,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,car,685,<100,4<=X<7,2.0,male mar/wid,none,3,car,25,bank,own,1,unskilled,1,,,bad
>=20000,4,existing paid,car,1494,no known savings account,<1,1.0,male single,none,2,real estate,29,none,own,1,unskilled,2,,,good
<0,36,no credits taken/all paid back duly,furniture/equipment,2746,<100,>=7,4.0,male single,none,4,car,31,bank,own,1,skilled,1,,,bad
<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2.0,male single,guarantor,3,life insurance,38,none,own,1,unskilled,2,,,good
0<=X<20000,24,existing paid,furniture/equipment,4351,no known savings account,1<=X<4,1.0,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,701,<100,1<=X<4,4.0,male single,none,2,car,32,none,own,2,skilled,1,,,good
<0,15,no credits taken/all paid back duly,furniture/equipment,3643,<100,>=7,1.0,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled,1,,,good
0<=X<20000,30,no credits taken/all paid back duly,car,4249,<100,unemployed,4.0,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,,,bad
<0,24,existing paid,television,1938,<100,<1,4.0,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,,,bad
<0,24,existing paid,car,2910,<100,4<=X<7,2.0,male single,none,1,no known property,34,none,free,1,high qualif/self emp/mgmt,1,,,good
<0,18,existing paid,furniture/equipment,2659,>=10000,1<=X<4,4.0,male single,none,2,car,28,none,own,1,skilled,1,,,good
no checking account,18,no credits taken/all paid back duly,car,1028,<100,1<=X<4,4.0,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,,,good
<0,8,no credits taken/all paid back duly,car,3398,<100,4<=X<7,1.0,male single,none,4,real estate,39,none,own,2,unskilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,5801,no known savings account,>=7,2.0,male single,none,4,life insurance,49,none,rent,1,skilled,1,,,good
no checking account,24,existing paid,car,1525,>=10000,4<=X<7,4.0,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,,,good
>=20000,36,existing paid,television,4473,<100,>=7,4.0,male single,none,2,car,31,none,own,1,skilled,1,,,good
0<=X<20000,6,existing paid,television,1068,<100,>=7,4.0,male single,none,4,car,28,none,own,1,skilled,2,,,good
<0,24,no credits taken/all paid back duly,car,6615,<100,unemployed,2.0,male single,none,4,no known property,75,none,free,2,high qualif/self emp/mgmt,1,,,good
no checking account,18,no credits taken/all paid back duly,furniture/equipment,1864,<100,1<=X<4,4.0,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,,,bad
0<=X<20000,60,existing paid,car,7408,<100,<1,4.0,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,48,no credits taken/all paid back duly,car,11590,<100,1<=X<4,2.0,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled,1,,,bad
<0,24,no credits taken/all paid back duly,furniture/equipment,4110,<100,>=7,3.0,male single,none,4,no known property,23,bank,rent,2,skilled,2,,,bad
<0,6,no credits taken/all paid back duly,furniture/equipment,3384,<100,1<=X<4,1.0,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,,,bad
0<=X<20000,13,existing paid,television,2101,<100,<1,2.0,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled,1,,,good
<0,15,existing paid,furniture/equipment,1275,no known savings account,1<=X<4,4.0,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,,,bad
<0,24,existing paid,furniture/equipment,4169,<100,1<=X<4,4.0,male single,none,4,life insurance,28,none,own,1,skilled,1,,,good
0<=X<20000,10,existing paid,furniture/equipment,1521,<100,1<=X<4,4.0,male div/sep,none,2,car,31,none,own,1,unskilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,5743,<100,<1,2.0,female div/dep/mar,none,4,no known property,24,none,free,2,skilled,1,,,good
<0,21,existing paid,furniture/equipment,3599,<100,4<=X<7,1.0,female div/dep/mar,none,4,car,26,none,rent,1,unskilled,1,,,good
0<=X<20000,18,existing paid,television,3213,100<=X<1000,<1,1.0,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,,,good
0<=X<20000,18,existing paid,furniture/equipment,4439,<100,>=7,1.0,male single,co-applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,,,good
>=20000,10,existing paid,car,3949,<100,<1,1.0,male single,guarantor,1,life insurance,37,none,own,1,unskilled,2,,,good
no checking account,15,no credits taken/all paid back duly,television,1459,<100,1<=X<4,4.0,female div/dep/mar,none,2,car,43,none,own,1,unskilled,1,,,good
0<=X<20000,13,no credits taken/all paid back duly,television,882,<100,<1,4.0,male single,guarantor,4,real estate,23,none,own,2,skilled,1,,,good
0<=X<20000,24,existing paid,television,3758,100<=X<1000,unemployed,1.0,female div/dep/mar,none,4,no known property,23,none,rent,1,unskilled,1,,,good
no checking account,6,no credits taken/all paid back duly,furniture/equipment,1743,<100,1<=X<4,1.0,male single,none,2,real estate,34,none,own,2,unskilled,1,,,good
0<=X<20000,9,no credits taken/all paid back duly,furniture/equipment,1136,>=10000,>=7,4.0,male single,none,3,no known property,32,none,free,2,skilled,2,,,bad
no checking account,9,existing paid,furniture/equipment,1236,<100,<1,1.0,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,,,good
0<=X<20000,9,existing paid,furniture/equipment,959,<100,1<=X<4,1.0,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,,,bad
no checking account,18,no credits taken/all paid back duly,car,3229,no known savings account,unemployed,2.0,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,12,no credits taken/all paid back duly,television,6199,<100,1<=X<4,4.0,male single,none,2,life insurance,28,none,rent,2,skilled,1,,,bad
no checking account,10,existing paid,furniture/equipment,727,100<=X<1000,>=7,4.0,male single,none,4,no known property,46,none,free,1,skilled,1,,,good
0<=X<20000,24,existing paid,car,1246,<100,<1,4.0,male single,none,2,real estate,23,stores,own,1,unskilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,television,2331,no known savings account,>=7,1.0,male single,co-applicant,4,real estate,49,none,own,1,skilled,1,,,good
no checking account,36,no credits taken/all paid back duly,television,4463,<100,1<=X<4,4.0,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,,,bad
no checking account,12,existing paid,television,776,<100,1<=X<4,4.0,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,,,good
<0,30,existing paid,furniture/equipment,2406,<100,4<=X<7,4.0,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,,,bad
0<=X<20000,18,existing paid,furniture/equipment,1239,no known savings account,1<=X<4,4.0,male single,none,4,no known property,61,none,free,1,skilled,1,,,good
>=20000,12,existing paid,television,3399,no known savings account,>=7,2.0,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,,,good
>=20000,12,no credits taken/all paid back duly,car,2247,<100,1<=X<4,2.0,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,,,good
no checking account,6,existing paid,furniture/equipment,1766,<100,1<=X<4,1.0,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,,,good
<0,18,existing paid,furniture/equipment,2473,<100,unemployed,4.0,male single,none,1,car,25,none,own,1,unskilled,1,,,bad
no checking account,12,existing paid,furniture/equipment,1542,<100,4<=X<7,2.0,male single,none,4,car,36,none,own,1,skilled,1,,,good
no checking account,18,no credits taken/all paid back duly,car,3850,<100,4<=X<7,3.0,male single,none,1,car,27,none,own,2,skilled,1,,,good
<0,18,existing paid,furniture/equipment,3650,<100,<1,1.0,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,,,good
<0,36,existing paid,furniture/equipment,3446,<100,>=7,4.0,male single,none,2,car,42,none,own,1,skilled,2,,,bad
0<=X<20000,18,existing paid,furniture/equipment,3001,<100,4<=X<7,2.0,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,,,good
no checking account,36,existing paid,car,3079,no known savings account,1<=X<4,4.0,male single,none,4,real estate,36,none,own,1,skilled,1,,,good
no checking account,18,no credits taken/all paid back duly,television,6070,<100,>=7,3.0,male single,none,4,car,33,none,own,2,skilled,1,,,good
no checking account,10,no credits taken/all paid back duly,furniture/equipment,2146,<100,<1,1.0,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,,,good
no checking account,60,no credits taken/all paid back duly,car,13756,no known savings account,>=7,2.0,male single,none,4,no known property,63,bank,free,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,60,no credits taken/all paid back duly,furniture/equipment,14782,<100,>=7,3.0,female div/dep/mar,none,4,no known property,60,bank,free,2,high qualif/self emp/mgmt,1,,,bad
<0,48,no credits taken/all paid back duly,furniture/equipment,7685,<100,4<=X<7,2.0,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,,,bad
no checking account,18,no credits taken/all paid back duly,television,2320,<100,unemployed,2.0,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,,,good
no checking account,7,no credits taken/all paid back duly,television,846,no known savings account,>=7,3.0,male single,none,4,no known property,36,none,free,1,skilled,1,,,good
0<=X<20000,36,existing paid,car,14318,<100,>=7,4.0,male single,none,2,no known property,57,none,free,1,high qualif/self emp/mgmt,1,,,bad
no checking account,6,no credits taken/all paid back duly,car,362,<100,1<=X<4,4.0,female div/dep/mar,none,4,car,52,none,own,2,unskilled,1,,,good
<0,20,existing paid,furniture/equipment,2212,no known savings account,4<=X<7,4.0,male single,none,4,car,39,none,own,1,skilled,1,,,good
0<=X<20000,18,existing paid,car,12976,<100,unemployed,3.0,female div/dep/mar,none,4,no known property,38,none,free,1,high qualif/self emp/mgmt,1,,,bad
no checking account,22,existing paid,car,1283,no known savings account,4<=X<7,4.0,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,,,good
>=20000,12,existing paid,car,1330,<100,<1,4.0,male single,none,1,real estate,26,none,own,1,skilled,1,,,good
no checking account,30,no credits taken/all paid back duly,furniture/equipment,4272,<100,1<=X<4,2.0,male single,none,2,life insurance,26,none,own,2,unskilled,1,,,good
no checking account,18,no credits taken/all paid back duly,television,2238,<100,1<=X<4,2.0,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,,,good
no checking account,18,existing paid,television,1126,no known savings account,<1,4.0,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,7374,<100,unemployed,4.0,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,,,good
0<=X<20000,15,no credits taken/all paid back duly,furniture/equipment,2326,100<=X<1000,1<=X<4,2.0,male single,none,4,car,27,bank,own,1,skilled,1,,,good
no checking account,9,existing paid,furniture/equipment,1449,<100,4<=X<7,3.0,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,,,good
no checking account,18,existing paid,car,1820,<100,1<=X<4,2.0,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,983,>=10000,<1,1.0,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled,1,,,good
